"产品形态","代际角色","产品/代际","发布时间","当前状态","目标场景","核心技术变化","量产/良率","客户验证","收入证据","下一代里程碑","数据日期","来源","证据等级"
"整机服务器","N-1/历史","D800","年报列示历史产品","历史数据中心一体机/服务器产品","训练和推理","把板卡、CPU、内存、网络和散热集成为系统","系统交付数量和部件良率未披露","公司部署口径；缺客户SLA和复购","整机收入未拆分","核验维护状态、客户、交付量、验收和收入","2026-07-15","reports/2025_annual.pdf","A中的公司自述"
"整机服务器","当前","MTT SGX5000","截至2026-07-15核验S5000产品页","公开8张S5000 OAM服务器方案；实际销量和客户未知","大模型训练、推理和HPC","8张S5000 OAM、系统级互联和散热集成","服务器供货量和系统良率未披露","产品页为公司口径；缺具名客户长周期验收","云端组合收入不能归因到SGX5000","服务器规格、销量、SLA、验收、回款、复购和项目毛利","2026-07-15","https://www.mthreads.com/product/S5000; reports/2025_annual.pdf","A+B中的公司口径"
"整机服务器","N+1","无法确认下一代整机服务器","截至2026-07-15未取得正式型号","C256是超节点规划，不能拿来补服务器下一代","大模型训练、推理和HPC","无法确认","无系统量产/交付证据","无客户验证证据","无收入证据","正式型号、样机、认证、量产、客户验收和收入","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"集群系统","N-1/历史","KUAE千卡集群","公司历史部署口径","千卡级集群方案存在；客户和长周期状态未知","大模型训练、推理和多租户","通信、调度、存储、容错和管理","集群不适用芯片良率；系统供货规模未披露","公司部署口径；缺客户SLA和复购","云端汇总收入不能归因","客户规模、长周期SLA、验收、回款和扩容","2026-07-15","reports/2025_annual.pdf","A中的公司口径"
"集群系统","当前","KUAE万卡集群","年报称已有万卡上线","公司称万卡上线和特定扩展/有效训练时间结果；客户长周期状态未知","大模型训练、推理和多租户","多机互联、调度、存储、容错和管理","系统供货规模和部件良率未披露","公司自测/部署；缺具名客户SLA、故障和复购","云端汇总收入不能归因","客户卡数、连续运行、MTTR、验收、回款、扩容和项目毛利","2026-07-15","reports/2025_annual.pdf; https://www.mthreads.com/product/S5000","A+B中的公司口径"
"集群系统","N+1","十万卡集群路线","2025年报披露","阶段性研发自述；无实际系统规模数据","超大规模训练和推理","并行互联、调度、存储和容错研发","无实际供货数据","无客户验收","无收入","实际规模、连续运行、故障恢复、验收、收入和回款","2026-07-15","reports/2025_annual.pdf","A中的公司规划"
"超节点系统","N-1/历史","无法确认历史独立超节点产品","截至2026-07-15未取得型号","普通服务器/集群不能替代超节点形态的历史代际","高密度训推","无法确认","无原型/量产证据","无客户验证证据","无收入证据","历史型号或明确说明此前无独立产品","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"超节点系统","当前","无法确认当前在售独立超节点","截至2026-07-15未取得正式型号","SGX5000服务器和KUAE集群不能自动等于超节点","高密度训推","无法确认","无原型/量产证据","无客户验证证据","无收入证据","当前型号、规格、原型、客户和收入","2026-07-15","reports/2025_annual.pdf; https://www.mthreads.com/product/S5000","A+B；受控未知"
"超节点系统","N+1","C256超节点","2025年报披露","架构规划；无原型/量产证据","高密度超节点","计算交换一体化规划","无原型和量产数据","无商业客户验证","无收入","原型、系统规格、认证、客户验收和商业交付","2026-07-15","reports/2025_annual.pdf","A中的公司规划"
"边缘模组","N-1/历史","无法确认E300之前同形态模组","截至2026-07-15未取得型号","未取得同形态历史产品证据","边缘AI、机器人和工业","无法确认","无量产/良率证据","无客户验证证据","无收入证据","历史型号、客户和销量","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"边缘模组","当前","E300","截至2026-07-15核验","产品已发布；规模未知","边缘AI、机器人和工业","最高50TOPS INT8及多种内存配置","数量和良率未披露","公司产品/应用自述；缺规模客户","边缘与终端组合收入0.26亿元；产品级未拆","产品销量、功耗、毛利、客户复购和资源投入回报","2026-07-15","reports/2025_annual.pdf; https://www.mthreads.com/product/E300","A+B中的公司口径"
"边缘模组","N+1","无法确认下一代边缘模组","截至2026-07-15未取得路线图","未取得正式型号或研发节点","边缘AI、机器人和工业","无法确认","无量产/良率证据","无客户验证证据","无收入证据","正式型号、规格、功耗、量产、客户和收入","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"个人AI终端","N-1/历史","无法确认AIBOOK之前同形态终端","截至2026-07-15未取得型号","未取得同形态历史产品证据","个人AI和本地推理","无法确认","无量产/供货证据","无客户验证证据","无收入证据","历史型号、销量和客户评价","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"个人AI终端","当前","AIBOOK","截至2026-07-15公开产品","已发布销售；规模未知","个人AI和本地推理","搭载长江SoC并集成本地AI软硬件","数量和部件良率未披露","公司产品口径；缺规模销量和复购","边缘与终端组合收入0.26亿元；产品级未拆","销量、ASP、毛利、使用活跃、复购和资源投入回报","2026-07-15","reports/2025_annual.pdf","A中的公司口径"
"个人AI终端","N+1","无法确认下一代个人AI终端","截至2026-07-15未取得路线图","未取得正式型号或研发节点","个人AI和本地推理","无法确认","无量产/供货证据","无客户验证证据","无收入证据","正式型号、SoC、软件、销量、毛利和复购","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"软件平台","N-1/历史","早期MUSA、驱动、SDK和框架适配版本","随历史产品持续迭代","历史组件存在；维护状态和版本基线未逐项整理","AI、图形、HPC、媒体开发与部署","建立统一架构、驱动、编译器和库基础","软件不适用芯片良率；历史稳定性未量化","无固定历史迁移工时和客户复购","独立软件收入未披露，主要随硬件捕获","建立版本时滞、兼容缺陷和客户迁移历史基线","2026-07-15","reports/2025_annual.pdf; 摩尔线程官方文档","A+B中的公司口径"
"软件平台","当前","MUSA、torch_musa、vLLM-MUSA、SGLang-MUSA、MCCL及驱动","持续更新；截至2026-07-15","组件和版本存在；客户生产覆盖未知","AI、图形、HPC、媒体开发与部署","统一架构、驱动、编译器、库和框架适配","软件不适用芯片良率；版本稳定性未量化","无固定模型/应用通过率、迁移人天和生产故障","独立软件收入未披露，主要随硬件捕获","版本追赶、迁移审计、客户复购和外部贡献","2026-07-15","https://docs.mthreads.com/torchmusa/torchmusa-doc-online/introduction/; https://docs.mthreads.com/en/vllm-musa-m1000/vllm-musa-m1000-doc-online/release-notes/; reports/2025_annual.pdf","A+B"
"软件平台","N+1","无法确认下一代软件平台名称/版本目标","截至2026-07-15未取得完整路线图","持续迭代可预期，具体版本、功能和日期未披露","花港/华山/庐山及新模型支持","无法确认","软件不适用芯片良率；开发进度未知","无客户验证证据","无收入证据","正式版本、目标硬件/模型、兼容测试、客户生产和外部贡献","2026-07-15","reports/2025_annual.pdf; 摩尔线程官方文档","A+B；受控未知"
