"技术方向","是否核心","客户任务/场景","行业评价问题","关键指标","指标定义/单位","为什么重要","测量方法/标准口径","好坏方向与权衡","标尺/基准对象","框架来源","来源等级","小白解释","争议/局限","分析补充/推断","数据日期"
"构网控制","是","弱电网储能/光储电站","极弱电网能否稳定","最低适应SCR","通过验收的最小短路比；无量纲","可能决定项目能否并网","同电网模型、规模、故障集和软件版本","越低通常越强；需防振荡","华为、SMA、Tesla同场景方案","电网公司验收/独立测试","A/B","没有强电网带着时能否自己站稳","公司给适应范围不等于竞对同测领先","严格比较需要同一验收工况","2026-07-16"
"构网控制","是","弱电网储能/光储电站","能否快速支撑电压","无功响应时间","电压扰动到无功达到带宽的时间；ms","响应慢可能错过电网要求","同扰动、带宽和控制版本","越短通常越好；需看超调","同项目入围方案","电网验收/产品资料","A/B","电压晃动后多久出手扶稳","不可与系统调度响应混用","20ms仅为公司产品声明","2026-07-16"
"构网控制","是","黑启动与孤网恢复","失电后能否建立电压","电压构建时间","黑网到电压进入稳态带宽的时间；微秒/毫秒","影响黑启动和孤网恢复","同负载、容量、控制层级和稳态带宽","越短通常越好；还要看带载成功率","同规模黑启动方案","电网验收/产品资料","A/B","全网没电时多久先搭起稳定电压","宣传的微秒级未给完整负载条件","需客户验收波形","2026-07-16"
"构网控制","是","黑启动与孤网恢复","能带起多大系统","黑启动规模","成功恢复的电源或负载规模；MW/GW","规模越大工程价值通常越高","同初始电量、负载阶跃、网络拓扑和持续时间","越大通常越强；复杂度和风险也上升","同电网项目竞标方案","电网验收/项目报告","A/B","停电后一次能带起多大的电网","GW级表述缺项目边界","案例数量不能替代规模同测","2026-07-16"
"构网控制","是","故障穿越","短时过载能否撑住故障","过载能力","额定功率倍数及可持续时间；倍/秒","故障期支撑不足可能脱网","同温度、SOC、器件限制和故障工况","倍数和时长越高通常越好；会增加成本与热应力","同功率PCS方案","产品数据表/验收","A/B","故障瞬间能多扛多少、扛多久","只给倍数不给时长无意义","当前公开资料缺失","2026-07-16"
"网络安全与远程控制","是","欧美关键能源设施","是否能进入供应商名单","高风险供应商准入状态","具体法规、资金或招标下是否允许；合格/限制/禁止","直接决定能否投标，产地只是一个因素","逐法域、逐项目、逐控制权和证书范围核验","获准更好；合规会增加成本","欧盟/美国官方规则和当地供应商","官方法规/招标文件","A","设备在哪造不等于谁能远程控制","规则仍在形成且范围不同","欧盟资金限制与全面禁令建议必须分开","2026-07-16"
"网络安全与远程控制","是","欧美关键能源设施","谁能登录和控制设备","远程访问与权限架构","身份、最小权限、多因素认证、日志和本地隔离；逐项","减少未经授权控制和单点失陷","架构审计、渗透测试和项目配置核验","权限越收敛越安全；运维便利度下降","当地关键基础设施要求","DOE/监管/客户审计","A/B","谁能从远处动设备，做过什么能否追溯","认证不能代替现场配置","公司未公开足够字段","2026-07-16"
"网络安全与远程控制","是","欧美关键能源设施","软件更新是否可追溯且漏洞能修","签名升级、SBOM与漏洞响应","更新签名、组件清单、漏洞修复SLA和数据驻留；是否/天/地区","影响供应链攻击和监管合规","证书范围、SBOM抽查、CVE响应记录和数据流审计","更透明更快通常更好；维护成本更高","当地供应商和法规要求","DOE/监管/客户审计","A/B","软件从哪来、有什么零件、出漏洞几天修","未披露不等于没有，但不能算优势","需项目级安全文件","2026-07-16"
"全球交付与服务","是","全球大型项目采购","综合供应商能力是否进入短名单","WoodMac综合供应商评分（非技术性能）","ESG30%、服务15%、研发15%、供应链15%、利用率10%、认证5%、财务5%、制造5%的综合分","可能影响采购认知，但不能证明性能领先","使用WoodMac原始权重；禁止当技术测试","分数高较好；权重不等于具体客户偏好","WoodMac H1 2025排名对象","WoodMac方法说明","B","这是供应商综合体检，不是设备跑分","研发和ESG权重高，不能替代故障率/效率","只用于商业采用代理","2026-07-16"
"全球交付与服务","是","全球大型项目采购","客户是否再次购买","客户复购率","同客户后续订单客户数或金额/可复购基数；%","复购同时反映验收、服务和切换阻力","同客户映射、同周期和同产品口径","越高通常越好；也可能受低价影响","华为、SMA、Fluence同类客户","客户/公司订单数据","A/B","买过一次的人还会不会再买","公开项目名单无法还原分母","公司未披露客户级复购","2026-07-16"
"全球交付与服务","是","全球大型项目运维","故障后多久恢复","平均修复时间MTTR","从故障确认到恢复服务平均小时数","停机时长直接影响客户收入","同故障等级、地区和备件边界","越短越好；更多备件和人员会增加费用","本地服务商和同类竞对","服务SLA/客户记录","A/B","坏了以后平均多久重新赚钱","网点数不等于修复速度","波兰公告的网点仅证明投入","2026-07-16"
"AIDC/SST","否，期权","高密度AI数据中心供电","端到端是否更省电","端到端效率","从中压输入到机柜可用直流输出效率；%","损耗影响电费和散热","同负载曲线、冗余等级、电压和辅助系统","越高越好；需保可靠性","台达、施耐德、科华及传统UPS路线","客户验收/产品标准","A/B","电从电网到芯片前一共损失多少","单模块效率不能替代端到端","公司未披露客户级数值","2026-07-16"
"AIDC/SST","否，期权","高密度AI数据中心供电","是否节省机房空间","系统功率密度","含冗余和必要配电的kW/机房面积或体积","空间可用于更多IT设备","同冗余、维护通道、散热和系统边界","越高越好；高密度增加散热和维修难度","台达、施耐德、科华及传统UPS路线","客户验收/设计图","A/B","同样空间能给多少机柜供电","设备级与机房级口径常混用","公司未披露","2026-07-16"
"AIDC/SST","否，期权","高密度AI数据中心供电","故障是否影响机柜运行","MTBF与故障隔离时间","平均无故障小时及隔离故障所需时间；小时/毫秒","数据中心为连续运行付费","同冗余等级、负载和故障注入","MTBF越高、隔离越快越好；冗余增加成本","台达、施耐德、科华及传统UPS路线","客户验收/故障注入","A/B","多久坏一次，坏了会不会拖垮别的机柜","预测值不等于运行实绩","没有客户长期数据前仅为期权","2026-07-16"
