"技术方向","工作负载/场景","比较指标","目标公司方案/数值","国内标杆方案/数值","全球标杆方案/数值","单位","相对差距（数值/范围）","比较层级","比较口径/软件版本/系统规模","验证性质","分项水位","置信度","数据日期","来源","证据等级","已知结论","缺失字段/无法判断项","投资含义","下一步核验方式","结论改变条件"
"储能系统","海外公用事业大储","占地能量密度","PowerTitan 3.0 Plus宣传>500kWh/m2","国内标杆完整场站边界值未取得","Fluence只公开电池舱尺寸与容量","kWh/m2","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","设备/AC block/完整场站边界不一致","消防间距、维护通道、PCS及升压设备边界","宣传值只能说明设计方向","取得同一项目完整总图与可用容量","完整场站占地低20%以上且验收通过才上调"
"储能系统","海外公用事业大储","容量保持率","PowerTitan 3.0称684Ah电芯循环寿命>15000次","国内标杆同电芯同工况保持率未取得","Fluence未在公开规格给同口径保持率","%","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","循环次数不是容量保持率","温度、倍率、SOC、EOL阈值和增补责任","不能把电芯循环宣传当系统寿命壁垒","取得质保曲线和运行项目容量测试","同工况长期保持率与质保成本占优才上调"
"储能系统","海外公用事业大储","热失控传播","公司称热电分离阻断传播，未取得完整UL9540A报告","国内标杆同层级报告未取得","Fluence公开UL9540A Cell/Module/Unit认证","通过/不通过","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","公司宣传结论与竞对认证层级不可比","同电芯、模块、单元、安装级报告与消防条件","安全不能因一句零传播而判领先","取得完整UL9540A及当地消防验收","同层级独立测试和多年事故率占优才上调"
"储能系统","海外公用事业大储","辅助功耗","PowerTitan 2.0宣称50kWh/日，3.0同口径未披露","国内标杆同容量日耗电未取得","Fluence公开峰值辅助负载4-34kW，非日耗电","kWh/日或kW","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","日耗电和峰值功率不可换算比较","容量、温度、待机/运行状态与冷却策略","辅助能耗仍是RTE缺口的一部分","取得相同4小时系统全年辅助电表","同容量全年辅助能耗显著更低才上调"
"构网控制","弱电网储能/光储电站","最低适应SCR","PowerTitan 3.0称适应SCR 1-40","华为同项目同模型值未取得","SMA SCS UP-S给SCR>2且<2需特别批准，设备边界不同","无量纲","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","目标公开适应下限1；竞对不是同系统","同容量、电网模型、故障集和控制版本","展示可做弱网，不证明相对领先","取得同一电网公司模型与验收","同工况下限更低且无振荡才上调"
"构网控制","弱电网储能/光储电站","无功响应时间","PowerTitan 3.0称20ms","华为同项目数值未取得","Fluence 150ms为系统响应，定义不同","ms","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","20ms与150ms不能直接相减","无功阶跃与完整系统响应定义不同","只能确认公司有快速响应目标","取得同阶跃、带宽、超调曲线","同口径响应和稳定性显著占优才上调"
"构网控制","黑启动与孤网恢复","电压构建时间","公司称微秒级电压构建","国内标杆同工况值未取得","全球标杆同工况值未取得","微秒/毫秒","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","缺少可复现数值与标杆","初始SOC、负载、稳态带宽和波形","技术宣称不能替代工程验收","取得电网公司验收波形","多个第三方项目重复通过才上调"
"构网控制","黑启动与孤网恢复","黑启动规模","公司称GW级黑启动","国内标杆同网络拓扑项目值未取得","全球标杆同网络拓扑项目值未取得","MW/GW","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","缺项目边界","被带起电源/负载、持续时间和成功率","只证明目标规模，不证明通用能力","取得项目名称、拓扑、验收和运行记录","可核验GW项目稳定运行才上调"
"构网控制","故障穿越","过载能力","PowerTitan 3.0公开稿未给倍数与持续时间","国内标杆同工况值未取得","SMA公开资料未给同系统过载曲线","倍/秒","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","目标和标杆关键字段都缺","温度、SOC、故障类型、倍数与时长","不能从构网标签推导故障支撑更强","取得产品曲线与项目验收","同工况倍数和时长占优才上调"
"网络安全与远程控制","欧美关键能源设施","高风险供应商准入状态","波兰工厂已宣布；不等于软件、控制权或项目准入","国内供应商同样逐项目审查","欧美本地供应商也需满足具体法规","合格/限制/禁止","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","欧盟委员会/DOE/公司波兰公告","A/B/C","欧盟已限制部分EU资金用于高风险供应商逆变器；更广框架仍属提议/实施细则待定","法域、资金来源、供应商认定和控制权","这是估值风险变量而非已成壁垒","逐条核欧盟/美国正式文本和中标资格","公司持续获准并中标且成本可控才上调"
"网络安全与远程控制","欧美关键能源设施","远程访问与权限架构","公司未公开足够项目级架构","华为等未取得同项目可比文件","当地竞对项目文件未取得","逐项","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","公开材料不能回答谁可远控、日志和隔离","身份、MFA、最小权限、本地模式、日志保留","本地制造不能替代网络安全合规","获取客户安全问卷、渗透测试和架构审计","逐项满足并经客户复核才上调"
"网络安全与远程控制","欧美关键能源设施","签名升级、SBOM与漏洞响应","公司未公开SBOM覆盖、修复SLA和数据驻留","国内标杆同项目值未取得","当地竞对同项目值未取得","是否/天/地区","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","无法计算","产品版本、证书范围、CVE样本与数据流","当前只能保留未知和风险折价","获取SBOM、签名链、CVE记录和数据流图","连续审计合格且未影响中标才上调"
"全球交付与服务","全球大型项目采购","WoodMac综合供应商评分（非技术性能）","H1 2025排名全球前二","华为同属全球前二","其他厂商分数/名次按报告","名次/综合分","目标与华为均在前二，原始分数未披露","代理比较","WoodMac权重：ESG30%、服务15%、研发15%、供应链15%、利用率10%、认证5%、财务5%、制造5%","第三方综合评分","接近","中","2026-07-16","Wood Mackenzie H1 2025 inverter ranking","B","证明综合供应能力处第一梯队，不是效率或可靠性测试","原始分数、具体客户权重和复购率","支持进入采购短名单的假设，不证明技术壁垒","获取客户招标评分与融资名单","客户短名单、复购和利润同步领先才上调"
"全球交付与服务","全球大型项目采购","客户复购率","公司披露大量项目但未给客户级复购率","华为同口径未取得","Fluence/Tesla同口径未取得","%","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","年报/IR/客户公告","A/B/C","采用规模已知，复购分母未知","客户映射、首购/续购和低价影响","竞争优势仍在形成而非已验证","整理三年客户订单与项目续单","复购显著高于竞对且非低价驱动才上调"
"全球交付与服务","全球大型项目运维","平均修复时间MTTR","公司称全球520服务网点；未给MTTR","国内标杆同地区MTTR未取得","Fluence/SMA同地区MTTR未取得","小时","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司PowerTitan3.0发布/波兰公告","A/B/C","网点数量不能换算修复速度","故障等级、备件、地区和SLA边界","服务网络是投入证据，不是结果证据","获取SLA、工单和客户停机记录","同地区MTTR和续约显著占优才上调"
"AIDC/SST","高密度AI数据中心供电","端到端效率","公司仅披露SST研发/方案方向，未披露中压输入到机柜输出的客户级效率","科华KR33传统UPS公开整机效率97%（300-1200kVA）；不是SST端到端口径","施耐德Galaxy VXL传统UPS双变换最高97.5%、eConversion最高99%；台达DPM Gen2传统UPS最高97.5%；均不是SST端到端口径","%","架构和边界不同，不能计算差距","代理比较","已主动检索国内外现售传统UPS官方资料；传统UPS的AC-AC效率不能与尚未公开的SST中压到机柜效率直接排名","厂商数据表代理+受控未知","无法判断","低","2026-07-16","阳光IR；科华KR33/施耐德Galaxy VXL/台达DPM Gen2官方资料","A/B/C","传统UPS标杆公开效率约97%-99%，阳光没有可比数值","输入电压、冗余、负载率、配电级数、冷却和机柜输出边界","不能给AIDC期权估值；阳光先要证明同边界节能而非只减少名义级数","取得客户验收、同冗余负载曲线和全年电表","同边界效率显著提高且有付费订单才上调"
"AIDC/SST","高密度AI数据中心供电","系统功率密度","公司未披露含冗余、维护通道和配电柜的系统值","科华KR33为300-1200kVA传统UPS；已查官方资料但未取得同边界kW/m2","施耐德Galaxy VXL传统UPS公开单机占地1.2m2、最高1250kW，即厂商口径最高1042kW/m2；台达DPH称500kVA单柜，但边界不同","kW/m2或kW/m3","架构、冗余和边界不同，不能计算差距","代理比较","已主动检索国内外官方产品；施耐德与台达是UPS设备级占地，不含阳光需比较的中压输入、冗余、维护通道和下游配电","厂商数据表代理+受控未知","无法判断","低","2026-07-16","阳光IR；科华KR33/施耐德Galaxy VXL/台达DPH官方资料","A/B/C","全球传统UPS已有高密度标杆，阳光未披露同边界数据","同冗余、散热、维护通道、配电和系统边界","不能从单部件体积或少一级转换推导机房优势","取得客户设计图、完整BOM占地与验收","同边界节省可用机房面积且可靠性不降才上调"
"AIDC/SST","高密度AI数据中心供电","MTBF与故障隔离时间","公司无客户运行、MTBF或故障隔离数值","已查科华KR33官方资料，未取得同负载、同冗余MTBF或隔离时间","施耐德Galaxy VXL公开Live Swap可零停机更换模块且有TÜV验证，但未公开同口径MTBF；台达资料未给同口径数值","小时/毫秒","无法计算差距","代理比较","已主动检索竞对官方资料；功能宣称、MTBF和客户实际停机是三种不同证据，不能互换","厂商功能代理+受控未知","无法判断","低","2026-07-16","阳光IR；科华KR33/施耐德Galaxy VXL/台达UPS官方资料","A/B/C","竞对至少公开热插拔/不停机维护机制，阳光SST尚无可比客户数据","同负载、冗余、故障注入、维修工时和客户停机","可靠性未验证前不构成采购优势","取得12个月运行、故障注入、工单和SLA结算","达到客户SLA并形成复购才上调"
