"技术方向","是否核心","客户任务/场景","行业评价问题","关键指标","指标定义/单位","为什么重要","测量方法/标准口径","好坏方向与权衡","标尺/基准对象","框架来源","来源等级","小白解释","争议/局限","分析补充/推断","数据日期"
"1.6T可插拔","是","多供应商网络部署","能否被交换机识别并互通","标准与管理兼容","IEEE、OSFP MSA、CMIS版本与测试；版本/通过","决定客户认证和双供","同版本、主机与互操作实验","覆盖广更好；最终看客户验收","新易盛、Coherent同代产品","IEEE/MSA/产品页","A/B","不同厂商模块能否在同网络工作","声明合规不等于客户认证","客户互操作记录未公开","2026-07-16"
"量产与质量","是","云数据中心新品导入","能否按百万级稳定交付","年度出货规模","模块销量及高速产品占比；万只/年","客户买的是稳定供货，不是实验室样品","同产品代际、同口径出货和退货","规模大通常更强；低价出货不等于高质量","新易盛、Coherent同产品出货","已取得：公司年报总销量；待取得：分速率出货和客户数据","A为年报总销量；分速率及客户数据未取得","能不能从一只样品做到几百万只","公司只披露总销量未拆速率","只能作规模代理","2026-07-16"
"量产与质量","是","云数据中心新品导入","制造一致性是否稳定","量产良率","合格成品/投入生产数量；%","良率决定成本、交付和毛利","同BOM、工厂、速率、温度与测试门槛","越高越好；放宽测试不能算提升","新易盛、Coherent同代产品","制造经济学分析推断；未取得工厂或客户审计原文","C","做100只最后有多少只合格","毛利率不能反推出精确良率；未证明客户采购权重","公司与竞对分层良率未披露","2026-07-16"
"量产与质量","是","数据中心长期运行","现场是否可靠","现场失效率/MTBF","每百万器件小时失效或平均无故障小时；FIT/小时","停机影响集群利用率与客户复购","同产品、温度、运行小时和故障定义","FIT越低、MTBF越高越好","客户SLA与竞对同代产品","可靠性工程通用定义与分析推断；未取得客户运行/质保原文","C","卖出去以后多久坏一次","实验可靠性不等于现场；未证明客户实际评分权重","公司与竞对客户级数据未公开","2026-07-16"
"量产与质量","是","云数据中心新品导入","多久从送样变成合格供应","客户认证周期","送样到量产批准所需月数","先认证可能获得新品窗口与份额","同客户、产品代际、认证阶段和版本","越短通常越好；不能牺牲测试","新易盛、Coherent同客户同代","分析推断；未取得具体客户认证规范或里程碑原文","C","从样品到客户敢批量买要多久","客户名称、阶段定义和日期未公开；未证明时间在具体客户评分中的权重","认证阶段、日期和份额均未知，时间领先仍是优势假设","2026-07-16"
"量产与质量","是","云数据中心规模交付","订单能否按约定时间到货","交付周期/OTD","下单到交货天数及按期交付率；天/%","缺货或延期可能让昂贵交换机和GPU闲置并影响后续配额","同SKU、订单量、地区、承诺日期和加急规则","交付周期越短、OTD越高通常越好；不能靠高库存掩盖质量问题","同客户同代供应商","供应链常识与分析推断；未取得具体客户采购或供应链审计原文","C","答应哪天交货，能不能按时交齐","收入增长不等于按期交付率高；未证明客户具体评分权重","公司与竞对同口径OTD及客户门槛未公开","2026-07-16"
"量产与质量","是","数据中心售后与复购","交付后有多少被退回或索赔","质保退货率/RMA","质保期内退回、维修或更换数量占出货量；%/ppm","RMA可能影响停机、售后成本、客户评分和下一代复购","同SKU、质保期、故障归因、运行环境和出货基数","越低通常越好；延长质保会提高短期统计值但可能增强客户信任","同客户同代供应商","质量工程常识与分析推断；未取得客户质量报告或分SKU质保成本原文","C","卖出去后有多少因为质量问题被退回来","总体销售费用不能反推出RMA；未证明客户具体阈值","分SKU退货、质保成本和客户门槛未公开","2026-07-16"
"硅光平台","是","800G/1.6T模块","能否用集成平台降低器件数和一致性波动","量产产品覆盖","采用硅光的速率、距离和SKU数量；个/代际","平台覆盖可分摊研发并支持迭代","同速率、距离、客户认证和量产状态","覆盖广更好；不能用展示数量代替量产","新易盛、Coherent硅光产品","产品页/年报","A/B","硅光是不是只在展台，还是进了产品","各家不披露完整BOM","只能确认有能力","2026-07-16"
"硅光平台","是","800G/1.6T模块","硅光芯片与封装能否稳定制造","硅光工艺与封装良率","晶圆/Die/模块分层良率；%","决定成本、供应和可靠性","同节点、设计、封装与测试门槛","越高越好；需分层而非总括","新易盛、Coherent同平台","已取得：公司/竞对产品资料；待取得：工厂或客户审计","C；未取得审计材料","硅光做出来以后有多少能稳定装进模块","公开材料无分层良率","毛利提升只能是间接结果","2026-07-16"
"新架构CPO/LPO","否，期权","更高密度scale-up/scale-out","是否显著降低每bit功耗","端到端能效","交换ASIC到光纤出口全链路能耗；pJ/bit","功耗墙决定架构是否迁移","同交换芯片、距离、FEC、冗余与冷却","越低越好；需权衡维修与标准化","Broadcom/NVIDIA/Coherent/新易盛路线","已取得：公司/竞对路线资料；待取得：客户系统测试","C；未取得客户测试","每传一个bit要花多少能量","模块功耗与系统pJ/bit不能混用","公司未公开客户级值","2026-07-16"
"新架构CPO/LPO","否，期权","数据中心运维","坏了以后是否易替换","可维护性与部署成熟度","热插拔、维修单元、标准、客户数量和运行年限；分级","客户不只为功耗付费，也怕故障影响整机","同网络规模、冗余、维护流程和故障域","可维护性更高更好；CPO可能以功耗换维修复杂度","可插拔、LPO、CPO同场景","已取得：公开标准和路线资料；待取得：客户部署与运行记录","C；未取得客户部署","坏一个光器件要换模块还是整块交换板","发布和早期商业化不是规模部署","需客户运行证据","2026-07-16"
