"技术方向","工作负载/场景","比较指标","目标公司方案/数值","国内标杆方案/数值","全球标杆方案/数值","单位","相对差距（数值/范围）","比较层级","比较口径/软件版本/系统规模","验证性质","分项水位","置信度","数据日期","来源","证据等级","已知结论","缺失字段/无法判断项","投资含义","下一步核验方式","结论改变条件"
"1.6T可插拔","下一代AI网络","单光通道速率","8x200G电/光lane","新易盛支持DR8等200G/lane路线","Coherent 8x200G","Gb/s/lane","公开架构相同","代理比较","产品页参数，未比较误码和功耗","产品页","接近","中","2026-07-16","官方产品资料","A/B","核心lane能力同档","良率、BER、功耗","性能精排未知","客户同测","同工况显著差异才改变"
"1.6T可插拔","500m数据中心连接","传输距离","当前1.6T DR8 OSFP224为500m；2023 OSFP-XD原型2km<23W","新易盛DR8/DR8-2等，具体同SKU距离未在年报表给出","Coherent 1.6T DR8为500m","m","中际当前与Coherent同为500m","代理比较","当前产品与2023原型分开","产品页","接近","中","2026-07-16","中际/Coherent产品页","A/B","满足500m DR8场景","链路余量与客户实测","不把2km原型套到当前SKU","同链路预算和BER","同场景认证结果改变"
"1.6T可插拔","高密度交换机端口","模块最大功耗","2023 1.6T OSFP-XD 2km原型<23W；当前500m OSFP224未给","新易盛当前同SKU未公开","Coherent当前产品页未给","W","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/产品页/竞对官方资料","A/B/C","公司曾证明原型能力","当前量产SKU全温功耗、BER、良率","功耗优势未验证","获取客户数据表","当前同SKU显著低且量产才上调"
"1.6T可插拔","下一代AI网络","预FEC误码率BER","当前1.6T产品页未给数值","新易盛、光迅同SKU公开页未给客户验收值","Coherent、Lumentum同SKU公开页未给客户验收值","比例","无法严格量化","代理比较","必须同测试码型、温度、接收功率、FEC、距离和老化阶段","受控未知","无法判断","低","2026-07-16","InnoLight 1.6T OSFP224；Accelink 1.6T OSFP224；Coherent/Lumentum官方产品页","A/B/C","产品存在不等于误码余量领先","预FEC BER分布、接收功率、全温与老化数据","不能用产品发布或总毛利替代可靠性水位","客户验收数据表与同机测试","多客户同口径BER余量持续领先才上调"
"1.6T可插拔","下一代AI网络","TDECQ","当前1.6T产品页未给数值","新易盛、光迅同SKU未给公开值","Coherent、Lumentum同SKU未给可比公开值","dB","无法严格量化","代理比较","必须同PMD、温度、距离、EOL与测试设备","受控未知","无法判断","低","2026-07-16","InnoLight/Accelink/Coherent/Lumentum官方产品页","A/B/C","各家有1.6T产品，但无法精排发射质量","TDECQ、OMA、灵敏度与全温分布","不能从lane速率推导信号质量领先","客户数据表与抽检","同口径TDECQ显著更低且BER相当才上调"
"1.6T可插拔","下一代AI网络长期运行","1.6T现场失效率/MTBF","公司未披露1.6T客户级FIT/MTBF","新易盛、光迅未披露同口径","Coherent、Lumentum未披露同口径","FIT/小时","无法严格量化","代理比较","必须同SKU、运行小时、温度、故障定义和客户场景","受控未知","无法判断","低","2026-07-16","公司及竞对年报、官方产品页；未取得客户SLA/RMA原文","A/B/C","1.6T产品化不等于现场可靠性已被公开验证","运行小时、故障数、退货、质保成本与故障归因","总体收入和总体现场经验不能替代1.6T分代数据","客户SLA、RMA与质保成本","多客户长期FIT/MTBF领先且复购上升才上调"
"1.6T可插拔","大规模AI网络采购","单位带宽采购成本","1.6T客户成交价与单位Gb/s成本未披露","新易盛、光迅同项目成交价未披露","Coherent、Lumentum同项目成交价未披露","元或美元/Gb/s","无法严格量化","代理比较","必须同客户、距离、数量、质保和时间窗口，并计入功耗与运维","受控未知","无法判断","低","2026-07-16","公司及竞对年报、官方产品页；均未提供同项目成交价","A/B/C","1.6T带宽翻倍，但单位成本是否下降未知","成交ASP、折扣、功耗、故障与运维TCO","不能用名义带宽翻倍推导客户经济性翻倍","客户招标与TCO模型","同项目单位带宽成本低于800G和竞对且份额上升才上调"
"1.6T可插拔","下一代AI网络","工作温度范围","当前产品页0-70℃","新易盛年报未给同SKU温区","Coherent产品页0-70℃","℃","目标与Coherent相同","代理比较","同为case温区，散热器形态可能不同","产品页","接近","中","2026-07-16","中际/Coherent产品页","B","主流商业温区达标","高温功耗与失效率","温区不是壁垒","客户高温运行","高温性能差异出现才改变"
"1.6T可插拔","多供应商网络部署","标准与管理兼容","IEEE 802.3df、OSFP1600 MSA、CMIS5.x","新易盛OSFP MSA、CMIS5.0+","Coherent OSFP MSA、IEEE P802.3dj、OIF CEI-224G-LR、CMIS","版本/通过","纸面标准族有覆盖；同机互操作不可比","代理比较","版本组合不同且无同机互操作","产品页/年报","无法判断","低","2026-07-16","三家公司官方资料","A/B","只能确认各家有标准声明","客户固件互操作与客户认证","纸面覆盖不能证明兼容水位，采购差异未知","客户互操作与认证","认证速度/稳定性差异才改变"
"量产与质量","云数据中心新品导入","年度出货规模","2025总销量2109万只，同比+44.55%；未拆高速产品","新易盛未披露同口径数量","Coherent未披露同口径数量","万只/年","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/竞对年报","A/B/C","中际规模交付已验证","800G/1.6T数量、退货与竞对同口径","支持商业采用，不证明性能领先","按速率拆出货与客户","高速产品份额/复购领先才上调"
"量产与质量","云数据中心新品导入","量产良率","公司未披露800G/1.6T良率","新易盛未披露","Coherent未披露","%","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/产品页/竞对官方资料","A/B/C","毛利上升可能受良率但无法量化","同BOM、工厂、SKU分层良率","不能把毛利率直接写成良率壁垒","客户审计/公司分层良率","良率与成本同口径领先才上调"
"量产与质量","数据中心长期运行","现场失效率/MTBF","公司未披露客户级FIT/MTBF","新易盛未披露","Coherent未披露同SKU现场值","FIT/小时","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/产品页/竞对官方资料","A/B/C","规模收入说明已采用","运行小时、退货、质保与故障定义","可靠性壁垒尚未验证","客户SLA/质保成本","长期同口径领先才上调"
"量产与质量","云数据中心新品导入","客户认证周期","公司称与重点客户预研，并计划提高1.6T交付能力和出货量；未披露实际量产批准和日期","新易盛/Coherent同客户日期未公开","全球客户认证原文未取得","月","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/产品页/竞对官方资料","A/B/C","公司计划不是产品接棒完成的经营证据","送样、A样/B样、量产批准与竞对时间","时间领先只能是假设","客户公告与量产批准","同客户领先一代且复购才上调"
"量产与质量","云数据中心规模交付","交付周期/OTD","公司未披露分SKU交付天数和按期交付率","新易盛、光迅未披露同口径","Coherent、Lumentum未披露同口径","天/%","无法严格量化","代理比较","必须同SKU、订单量、地区、承诺日期和加急规则","受控未知","无法判断","低","2026-07-16","公司及竞对年报；未取得客户供应链评分","A/B/C","收入和销量证明交付发生，不能证明相对更准时","订单承诺日、实际交付日、延期原因和加急成本","收入确认不等于OTD领先","客户供应链审计与同项目评分","OTD持续更高且客户配额/复购增加才上调"
"量产与质量","数据中心售后与复购","质保退货率/RMA","未披露分SKU RMA；2025年末产品质量保证预计负债1.21亿元，2024年末0.80亿元","新易盛、光迅未披露同口径分SKU RMA","Coherent、Lumentum未披露同口径分SKU RMA","%/ppm","预计负债是总体售后成本准备，不能转换为RMA或与竞对精排","代理比较","必须同SKU、质保期、故障归因、运行环境和出货基数","受控未知","无法判断","低","2026-07-16","中际2025年报预计负债附注；竞对年报；未取得客户质量报告","A/B/C","公司对质量保证负债有会计计量；余额上升与业务规模同时发生，不证明质量改善或恶化","退货数、故障原因、实际质保支出、运行小时、出货基数与复购","销售费用、总毛利或预计负债余额不能反推RMA","客户质量报告、预计负债变动表和售后记录","RMA持续更低且单位收入质保成本/复购改善才上调"
"硅光平台","800G/1.6T模块","量产产品覆盖","公司产品族与年报确认硅光用于800G/1.6T","新易盛有硅光800G/1.6T与LPO","Coherent有硅光1.6T产品","SKU/代际","三者均有公开产品","代理比较","公开产品存在，BOM与量产占比未披露","产品/年报","接近","中低","2026-07-16","三家公司官方资料","B","技术能力处同档","SKU量产占比、成本、客户认证","硅光本身不是独占壁垒","产品收入与客户","连续成本/良率领先才上调"
"硅光平台","800G/1.6T模块","硅光工艺与封装良率","公司未披露分层良率","新易盛未披露","Coherent未披露同口径","%","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/产品页/竞对官方资料","A/B/C","三者均能做产品","晶圆/Die/封装/模块良率与成本","平台壁垒无法量化","工厂审计与成本曲线","分层良率领先并传到利润才上调"
"新架构CPO/LPO","更高密度scale-up/scale-out","端到端能效","公司披露LPO/LRO和CPO方向，未给客户级pJ/bit","新易盛布局LPO/LRO/XPO/NPO/CPO","Broadcom/NVIDIA/Coherent推进CPO","pJ/bit","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/产品页/竞对官方资料","A/B/C","多路线均在推进","同交换ASIC、冷却、距离和可靠性","当前只算架构期权","客户系统级测试","大规模部署且公司拿到价值量才上调"
"新架构CPO/LPO","数据中心运维","可维护性与部署成熟度","公司年报称行业从技术突破走向早期商业化；公司自有量产SKU/客户未披露","新易盛2026发布NPO/XPO等新品，规模未知","Coherent/Broadcom/NVIDIA推进产品或试点","分级","行业阶段与公司阶段不同，无法判断公司商业成熟度","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","中际2025年报；Eoptolink 2026官方资料；Coherent OFC2026；Broadcom CPO发布；NVIDIA Spectrum-X","A/B/C","行业已出现产品和试点；公司商业化仍未验证","公司SKU、客户数量、运行年限、维修流程、收入和角色","不能把行业早期商业化或路线覆盖写成公司护城河","客户部署、公司收入与售后","公司规模复购和项目利润验证才上调"
