"产品形态","代际角色","产品/代际","发布时间","当前状态","目标场景","核心技术变化","量产/良率","客户验证","收入证据","下一代里程碑","数据日期","来源","证据等级"
"整机服务器","当前","无法确认当前主力整机/服务器型号","截至2026-07-15未取得型号拆分","年报的云端产品线收入包含芯片、板卡和集群系统，不能反推整机型号或收入","数据中心训练和推理","无法确认当前服务器配置","收入证明组合层面交付；整机数量和良率不适用/未知","型号级客户、验收和复购未披露","云端汇总收入不能归因到整机","当前型号、配置、交付量、客户验收、回款和毛利","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"整机服务器","N+1","无法确认下一代整机/服务器","截至2026-07-15未取得路线图","未取得正式型号、原型或发布节点","数据中心训练和推理","无法确认","无量产/交付证据","无客户验证证据","无收入证据","型号、样机、认证、交付和客户验收","2026-07-15","reports/2025_annual.pdf; 寒武纪官网产品资料","A+B；受控未知"
"集群系统","N-1/历史","无法确认独立历史集群型号","截至2026-07-15未取得可分离型号","玄思1000属于整机，不能拿来代替集群历史代际","大规模训练和推理","无法确认","无独立集群供货规模证据","无独立客户长周期验证","无独立集群收入","历史集群型号、规模、客户、验收和收入","2026-07-15","reports/2025_annual.pdf; 寒武纪官网产品资料","A+B；受控未知"
"集群系统","当前","智能计算集群系统；具体型号未知","2025年报披露","产品线中存在集群系统并形成组合收入；型号、系统规模和构成未披露","数据中心训练、推理和系统交付","软硬件协同和集群化交付；具体参数未披露","组合收入证明部分交付；系统供货规模、可用率和MTTR未知","具名客户、验收、扩容和复购未披露","2025年云端产品线汇总收入64.77亿元，不能归因到集群","型号、规模、扩展效率、SLA、验收、回款、复购和项目毛利","2026-07-15","reports/2025_annual.pdf","A"
"集群系统","N+1","无法确认下一代集群系统","截至2026-07-15未取得独立路线图","大模型交换芯片规划是上游组件线索，不等于下一代集群已形成","更大规模训练和推理","无法确认","无系统供货证据","无客户验证证据","无收入证据","系统型号、互联、规模、连续运行、验收和收入","2026-07-15","reports/2025_annual.pdf","A中的公司规划；受控未知"
"交换互联芯片","N-1/历史","无法确认历史独立交换芯片","截至2026-07-15未取得公开型号","MLU-Link属于芯片/板卡互联能力，不等于独立交换芯片产品","集群互联","无法确认","无量产/良率证据","无客户验证证据","无收入证据","历史型号或明确说明此前没有独立产品","2026-07-15","reports/2025_annual.pdf; 寒武纪官网产品资料","A+B；受控未知"
"交换互联芯片","当前","无法确认当前在售独立交换芯片","截至2026-07-15未取得公开型号","未取得当前独立产品、规格或销售证据","集群互联","无法确认","无量产/良率证据","无客户验证证据","无收入证据","当前型号、规格、供货和客户部署","2026-07-15","reports/2025_annual.pdf; 寒武纪官网产品资料","A+B；受控未知"
"交换互联芯片","N+1","下一代大模型交换芯片","2025年报研发规划","研发中；无公开型号","大模型集群互联","公司称推进大模型交换芯片和系统互联","无量产/良率证据","无公开客户验证","无收入证据","型号、规格、流片、送样、认证、量产和客户部署","2026-07-15","reports/2025_annual.pdf","A中的公司规划"
"软件平台","N-1/历史","早期NeuWare、BANG、CNNL与CNCL版本","随历史芯片持续迭代","历史版本存在；具体维护和客户覆盖未逐版整理","框架接入、算子、通信、编译和部署","形成寒武纪软件栈基础","软件不适用晶圆良率；历史版本稳定性未量化","无固定历史模型迁移工时和复购数据","独立软件收入很小；主要随硬件捕获价值","建立版本时滞、兼容缺陷和客户迁移历史基线","2026-07-15","https://developer.cambricon.com/index/document/; reports/2025_annual.pdf","B+A中的公司口径"
"软件平台","当前","NeuWare、BANG、CNNL 1.23.2、CNCL与MagicMind","截至2026-07-15核验","开发文档持续更新；版本说明同时公开修复项和遗留问题，客户生产覆盖未知","框架接入、算子库、通信、编译和推理部署","多组件全栈工具链并出现较新MLU型号支持线索","软件不适用晶圆良率；版本稳定性和问题影响范围未量化","无固定模型通过率、迁移人天和生产故障数据","独立软件收入很小；主要随硬件销售捕获价值","固定模型审计、遗留问题修复、版本追赶、迁移工时和客户复购","2026-07-15","https://developer.cambricon.com/index/document/; https://sdk.cambricon.com/static/independent/CNNL/1.23.2/releasenote/1.23.2/build/html/cnnl.html; reports/2025_annual.pdf","B+A"
"软件平台","N+1","无法确认下一代软件平台名称/版本目标","截至2026-07-15未取得完整路线图","持续迭代可以预期，但具体版本、功能和日期未披露","下一代芯片、模型和集群支持","无法确认","软件不适用晶圆良率；开发进度未知","无客户验证证据","无可映射收入","正式版本、目标芯片/模型、兼容测试、客户生产和外部贡献","2026-07-15","reports/2025_annual.pdf; 寒武纪开发文档中心","A+B；受控未知"
